"Database name","Alternative name","Integbio Database Catalog ID",DOI,Creator,"Database classification","Database classification (Free style)",Organism,"Organism (Free style)","Database description","Features and manner of utilization of database","Background and funding","Background and funding (Free style)",Reference(s),"Database maintenance site","URL of the original website","Operation start date","Last update date","URL of the portal site","Whole data download","Referenced database","Entry list","Query search","Web services","URL of Web services","Need for user registration"
AcEST,"Adiantum capillus-veneris EST","nbdc00839
",10.18908/lsdba.nbdc00839-000,"""Hiromi Kanegae"",""Tokyo Metropolitan University"",,,,,0
""Eri Kibukawa"",""Science & Technology Systems Inc."",,,,,0
""Takeshi Kanegae"",""Tokyo Metropolitan University)"",,,,,1
","""Nucleotide Sequence Databases""
""Plant databases - Other plants""
",,"""Adiantum capillus-veneris"",13818
",,"This is a database of EST sequences of Adiantum capillus-veneris determined by Tokyo Metropolitan University, and the results of the blastx search between these sequences and UniProtKB/Swiss-Prot and TrEMBL databases. Although various plant genomes have been analyzed, the research concerning fern plants has not progressed among land plants (including seed plants, fern and moss). Considering Adiantum capillus-veneris, which has been used for photomorphogenesis research, as a model fern plant, EST sequence analysis of Adiantum was performed.","AcEST is a database comprising about 30,000 items of EST sequence data of Adiantum capillus-veneris and additional secondary information. The database can be used to look for new genes in fern plants, to elucidate gene evolution and to collect gene information specific to fern plants.","""Research funded by the basic research budget of Tokyo Metropolitan University"",,
",,"""Analysis of expressed sequence tags in prothallia of Adiantum capillus-veneris."",""Yamauchi, D., Sutoh, K., Kanegae, H., Horiguchi, T., Matsuoka, K., Fukuda, H., Wada, M."",""J. Plant Res. 118 (3): 223-227."",15940394,200902214433760982
","Plant Environmental Responses Laboratory, Department of Biological Sciences, Tokyo Metropolitan University Graduate School of Science and Engineering","http://togodb.biosciencedbc.jp/togodb/view/acest/
",2009-06-12,2009-11,,http://togodb.biosciencedbc.jp/togodb/view/acest/,,1,1,1,,
AOE,"All Of gene Expression","nbdc00467
",10.18908/lsdba.nbdc00467-000,"""Hidemasa Bono"",""Database Center for Life Science"",200901083788745339,bonohu,0000-0003-4413-0651,201401171089187777,1
","""Microarray Data and other Gene Expression Databases""
",,,,"An index of public gene expression database.","Direct data access from the histogram, and make the table with selecte entries.
Updated data ranking by organisms and by methods enhances searchability of archived data.
Dynamic histogram for selected organisms and methods can be produced only by click operation.","""MEXT Integrated Database Project"",,0
""Life Science Database Integration Project"",201304069785935332,0
""Development of fundamental technologies related to integration of databases"",201304036502222259,0
",,"""All of gene expression (AOE): integrated index for public gene expression databases"",""Hidemasa Bono"",""bioRxiv https://doi.org/10.1101/626754"",0,
","Database Center for Life Science","https://aoe.dbcls.jp/en
",2014-10-01,2019-04-12,https://dbcls.rois.ac.jp/index-en.html,,"ArrayExpress, Gene Expression Omnibus(GEO), Genomic Expression Archive",1,1,1,https://github.com/dbcls/AOE/blob/master/API_documentation.md,
"Arabidopsis Phenome Database",,"NBDC01509
",10.18908/lsdba.nbdc01509-000,"""Hiroshi Masuya"",""RIKEN BioResource Center"",,,,200901100317799465,0
""Koji Doi"",""Institute of Crop Science, NARO"",,,,200901100377855305,0
","""Plant databases - Arabidopsis thaliana""
",,"""Arabidopsis thaliana"",3702
",,"The Arabidopsis thaliana phenome is the whole set of characteristics expressed in response to genomic, environmental and experimental factors of the most major experimental plant. The huge variety of published data have been accumulated, which is an indispensable resource to improve plant omics studies both on basic and applied research fields. It is also important to link information of bioresources such as mutant lines to the phenome to improve experimental research. Inconstancy among them however has inhibited their effective application. We developed the new Arabidopsis Phenome Database integrating two novel databases. One is the “RIKEN Phenome Integration of Arabidopsis Mutants”, that allows researchers to search mutants developed in RIKEN according to their interests in specified phenotypes to find useful materials for their experimental research. The other, the “Database of Curated Plant Phenome” focusing on the Arabidopsis phenome collected by human curation of published papers, is designed to realize easily both phenotype-to-genome and genome-to-phenotype association studies.",,,"Database Integration Coordination Program ""Development of the integrated database of phenome"" (2014/4-2017/3)",,"RIKEN BioResource Center","http://jphenome.info/?page_id=95
",,2016-12,http://metadb.riken.jp/metadb/front,http://metadb.riken.jp/metadb/db/SciNetS_ria143i,"Ds tagging line, Ac activation tagging line, Fox-hunting line",1,1,,,
ASTRA,"Alternative Splicing and Transcription Archives (ASTRA)","nbdc00371
",10.18908/lsdba.nbdc00371-000,"""Hideki Nagasaki"",""National Institute of Advanced Industrial Science and Technology, AIST. Current affiliation: Kazusa DNA Research Institute"",201301021943203731,nagasaki,,201201100231289206,0
""Osamu Gotoh"",""National Institute of Advanced Industrial Science and Technology, AIST"",200901010240453294,read0081671,,200901100337614682,0
""Masanori Arita"",""National Institute of Advanced Industrial Science and Technology, AIST. Current affiliation: National Institute of Genetics"",200901068111061442,arita,,200901100359062330,0
","""Nucleotide Sequence Databases - Gene structure, introns and exons, splice sites""
",,"""Homo sapiens"",9606
""Mus musculus"",10090
""Drosophila melanogaster"",7227
""Caenorhabditis elegans"",6239
""Arabidopsis thaliana"",3702
""Oryza sativa"",4530
",,"The database represents classified patterns of alternative splicing (AS) and alternative transcriptional initiation (ATI) in six eukaryotic genomes.","This database enables to search and represent alternative splicing/transcriptional initiation genes and their patterns (ex: cassette) based on mapping results between full-length cDNA and genomic sequences. Furthermore the database output translated sequences of their isoforms.",,,"""Species-specific variation of alternative splicing and transcriptional initiation in six eukaryotes."",""Nagasaki H, Arita M, Nishizawa T, Suwa M, Gotoh O."",""Gene. 2005 Dec 30;364:53-62."",16219431,201302256390587758
""Automated classification of alternative splicing and transcriptional initiation and construction of visual database of classified patterns."",""Nagasaki H, Arita M, Nishizawa T, Suwa M, Gotoh O."",""Bioinformatics. 2006 May 15;22(10):1211-6."",16500940,201002289269382085
","National Institute of Advanced Industrial Science and Technology, AIST.","
",2005,2006,,,,1,1,,,
"AT Atlas","Advanced Technologies Atlas","nbdc01162
",10.18908/lsdba.nbdc01162-000,"""Sei Miyamoto"",""Fujitsu Co., Ltd."",,,,,0
""Yasumasa Shigemoto"",""Fujitsu Co., Ltd."",,,,,0
""Hisashi Mizutani"",""National Institute of Genetics"",,,,,0
""Takao Iwayanagi"",""National Institute of Genetics"",,,,,0
""Hideaki Sugawara"",""National Institute of Genetics"",,,,,1
","""Other Molecular Biology Databases""
","""Experimental Methodology""
",,"Homo sapiens, mouse and Arabidopsis thaliana et al. as organisms of synthesized protein.
E. coli, wheat, human, yeast et al. as organisms using protein biosynthesis.","AT Atlas will make you familiar with the accomplishments by research groups of ""Protein Production"", ""Structural Analysis"" and ""Chemical Regulation"" in the Targeted Proteins Research Program. AT Atlas is composed of graphical abstract (flow chart) , information in text including actual application of the method and link to PRotein Experimental Information Management System (PREIMS). You will be able to find experimental methods used to elucidate the structure and/or functions of proteins that you are interested in. Further, you will be able to reproduce the experimental process to study corresponding entries of PREIMS. (Most of the graphical abstracts have been drawn by use of Cell Illustrator that is a pathway-drawing software developed by Prof. Satoru Miyano and his colleagues at the U. Tokyo)","The database provides techniques in protein production (hardly-soluble proteins, membrane proteins, protein complexes etc.), structural analysis of proteins and chemical library for protein regulation technology, which were worked in Targeted Proteins Research Program (TPRP). It is a practical database including graphical abstracts and links to detailed protocols in PREIMS (Protein Experimental Information Management System).","""The Targeted Proteins Research Program (2007-2011) promoted by the Ministry of Education, Culture, Sports, Science and Technology (MEXT) of Japan.
Project ID: IPC1 Creation and management of information platform in Targeted Proteins Research Program
http://www.tanpaku.org/e_pf.php"",,34
",,,"Platform for Drug Discovery, Informatics, and Structural Life Science
Research Organization of Information and Systems
National Institute of Genetics","http://www.tanpaku.org/atatlas/index_e.html
",2011-08,2012-03-31,http://www.tanpaku.org/e_index.php,,"Protein Experimental Information Management System (PREIMS)",1,1,,,
BodyParts3D,"3D structure database for anatomical concepts","nbdc00837
",10.18908/lsdba.nbdc00837-000,"""Kousaku Okubo"",""The Database Center for Life Science"",,,,,1
",,"Organ
","""Homo sapiens"",9606
",,"Dictionary-type database for anatomy in which anatomical concepts are represented by 3D structure data that specify corresponding segments of a three-dimensional whole-body model for an adult human male","The biggest feature is that a three-dimensional whole-body model for an adult human male is available for free. The database is not only useful as an electronic atlas to three-dimensionally confirm the position and shape of human organ, but also useful in reusing the available data as the input data for human-body simulation and data mapping.
A tool called ""Anatomogram"" is also made available to the public (http://lifesciencedb.jp/bp3d/) to readily generate an anatomical image of human body by selecting body parts from BodyParts3D and setting desired viewpoint, zoom, color and opacity.","""MEXT Integrated Database Project"",201410043352900536,25
",,"""BodyParts3D: 3D structure database for anatomical concepts."",""Mitsuhashi N, Fujieda K, Tamura T, Kawamoto S, Takagi T, Okubo K."",""Nucleic Acids Res. 2008 Oct 3."",18835852,201302297372077317
","The Database Center for Life Science","http://lifesciencedb.jp/bp3d/
",2007-10,2013-05,http://lifesciencedb.jp/lsdb.cgi?lng=en,http://dbarchive.biosciencedbc.jp/en/bodyparts3d/download.html,"Foundational Model of Anatomy",1,1,1,http://lifesciencedb.jp/bp3d/info_en/webapi/,
"Budding yeast cDNA sequencing project",,"nbdc00838
",10.18908/lsdba.nbdc00838-000,"""Fumihito Miura"",""Department of Computational Biology, Graduate School of Frontier Sciences, The University of Tokyo(when creating)"",,,,,0
""Takashi Ito"",""Department of Computational Biology, Graduate School of Frontier Sciences, The University of Tokyo(when creating)"",,,,,1
","""Genomics Databases (non-vertebrate) - Fungal genome databases""
",,"""Saccharomyces cerevisiae"",4932
",,"5'-end sequences of full-length cDNA clones generated from the budding yeast full-length cDNA library by the vector-capping method and the sequence quality score generated by the Phred software.","Since the vector-capping method allows to prepare cDNA possessing a genuine 5'-end, mapping the 5'-end sequence to the genome will lead to accurate identification of the transcription start site.","""KAKENHI (Grant-in-Aid for Scientific Research) on Priority Areas """"Systems Genomics"""" from the Ministry of Education, Culture, Sports, Science and Technology of Japan"",,
""Institute for Bioinformatics Research and Development, Japan Science and Technology Agency"",200904072106278644,24
",,"""A large-scale full-length cDNA analysis to explore the budding yeast transcriptome."",""Miura F, Kawaguchi N, Sese J, Toyoda A, Hattori M, Morishita S, Ito T."",""Proc Natl Acad Sci U S A. 2006 Nov 21;103(47):17846-51."",17101987,200902252672155526
","Department of Biophysics and Biochemistry, Graduate School of Science, the University of Tokyo","http://itolab.med.kyushu-u.ac.jp/GCap/
",2006-11-14,2006-11-14,,http://itolab.med.kyushu-u.ac.jp/GCap/download.html,,,,,,
ChemTHEATRE,,"nbdc01632
",10.18908/lsdba.nbdc01632-000.V001,"""Kei Nakayama"",""Center for Marine Environmental Studies, Ehime University"",200901047447388990,read0144296,0000-0002-0247-757X,200901100575204999,1
",,"""Monitoring of chemical substances""
",,,"Existing data on the environmental concentration of chemical substances has been digitized as academic papers or public institution reports. But most of them are stored as text or excel files. They are never easy to use for modeling and risk analysis. The prediction of global chemical contamination is much delayed compared with the climate change research. It is probably due to the fact that monitoring data as an input of the prediction model and verification material is not prepared. It is a great loss that valuable research results obtained by investing a large amount of research expenses are not fully utilized. In order to make effective use of these valuable information in the future, I think that building a highly versatile database is an essential task. For that reason, we would like to create a database on concentration information on chemical substances in the environment and create a platform (ChemTHEATRE) that stores and view monitoring data on all chemical substances. Utilizing this platform makes it possible to ensure traceability of chemical substances, facilitate prediction of behavior and fate in the environment, and to cooperate with external databases on chemical substance emissions and toxicity information, etc. It ensure ecological risk assessments of highly seasoned chemical substances with high precision and transparency. Also, with advanced visualization technology of information, we can expect the return of monitoring research to society, especially contribution to environmental education and open science.",,,,,"Center for Marine Environmental Studies, Ehime University","https://chem-theatre.com/
",2016-05-31,2018-12-17,,,PubChem,1,1,,,
ChIP-Atlas,,"nbdc01558
",10.18908/lsdba.nbdc01558-000.V016,"""Shinya Oki"",""Kyushu University"",201501040753326194,okishinya,,200901100345522495,0
""Tazro Ohta"",""Database Center for Life Science"",,,0000-0003-3777-5945,,0
","""Human and other Vertebrate Genomes - Human genome databases, maps and viewers""
""Nucleotide Sequence Databases - Transcriptional regulator sites and transcription factors""
""Genomics Databases (non-vertebrate) - Genome annotation terms, ontologies and nomenclature""
",,"""Homo sapiens"",9606
""Mus musculus"",10090
""Drosophila melanogaster"",7227
""Caenorhabditis elegans"",6239
""Saccharomyces cerevisiae"",4932
""Rattus norvegicus"",10116
",,"ChIP-Atlas is the database and its web interface to provide the result of analysis processed from the entire ChIP-Seq data archived in Sequence Read Archive. We have curated metadata described by original data submitter to enable further data analysis. See details here: https://github.com/inutano/chip-atlas/wiki","Users can browse all peaks from published ChIP-Seq data, and the result of target gene analysis and Colocalization analysis. Users also can perform enrichment analysis by querying user data.",,,,"Department of Developmental Biology, Graduate School of Medical Sciences, Kyushu University","http://chip-atlas.org/
",2015-12-01,2019-03-25,,https://github.com/inutano/chip-atlas/wiki#downloads_doc,,1,1,,,
ClEST,"Cimex lectularius EST","nbdc01137
",10.18908/lsdba.nbdc01137-000,"""Minoru Moriyama"",""National Institute of Advanced Industrial Science and Technology"",,,,,1
","""Nucleotide Sequence Databases""
",,"""Cimex lectularius"",79782
",,"Expressed sequence tags (EST) database of unique organs and whole bodies of the bedbug, Cimex lectularius","The bedbug Cimex lectularius is a blood-feeding exoparasite of humans and other warm-blooded animals. They have unique biological traits including the obligate nutritional mutualism with a Wolbachia endosymbiont, and the peculiar mating habit called traumatic insemination. The novel insect organs, the bacteriome for endosymbiosis and the spermalege for traumatic insemination, have evolved in the bedbug lineage. This database includes transcriptome of these unique organs, and can offer the basic information for evolutionary biology and medical and hygienic applications.","""The Program for Promotion of Basic and Applied Research for Innovations in Bio-oriented Industry (BRAIN)."",,
",,"""Comparative transcriptomics of the bacteriome and spermalege of the bedbug Cimex lectularius (Hemiptera: Cimicidae)"",""Minoru Moriyama, Ryuichi Koga, Takahiro Hosokawa, Naruo Nikoh, Ryo Futahashi, Takema Fukatsu"",""Appl Entomol Zool. 2012 Aug; 47(3):233-243."",,201202212690555357
","Symbiotic Evolution and Biological Functions Research Group, Bioproduction Research Institute, National Institute of Advanced Industrial Science and Technology (AIST)",,,,http://staff.aist.go.jp/t-fukatsu/BRAINHome.html,,,,,,,
